,function,file,time,lines,test_no
450,save CSV File,ideal.csv,1.59375,10000,7
451,fill SQL Database,ideal.csv,1.40625,10000,7
452,fill SQL Database,train.csv,0.21875,10000,7
453,GET SQL Data,ideal.csv,0.484375,10000,7
454,GET SQL Data,train.csv,0.109375,10000,7
455,Finding all Ideal Functions,,0.078125,10000,7
456,Assigning test data,,43.796875,10000,7
457,fill SQL Database,test.csv,0.234375,10000,7
458,vis results,,0.265625,10000,7
459,load CSV File,train.csv,0.0,100000,7
460,interpolate Data,train.csv,0.015625,100000,7
461,save CSV File,train.csv,1.859375,100000,7
462,load CSV File,test.csv,0.0,100000,7
463,interpolate Data,test.csv,0.0,100000,7
464,save CSV File,test.csv,0.875,100000,7
465,load CSV File,ideal.csv,0.015625,100000,7
466,interpolate Data,ideal.csv,0.171875,100000,7
467,save CSV File,ideal.csv,15.96875,100000,7
468,fill SQL Database,ideal.csv,14.84375,100000,7
469,fill SQL Database,train.csv,1.890625,100000,7
470,GET SQL Data,ideal.csv,5.15625,100000,7
471,GET SQL Data,train.csv,0.859375,100000,7
472,Finding all Ideal Functions,,0.578125,100000,7
473,Assigning test data,,1506.828125,100000,7
474,fill SQL Database,test.csv,2.296875,100000,7
475,vis results,,1.796875,100000,7
476,load CSV File,train.csv,0.0,100,8
477,interpolate Data,train.csv,0.0,100,8
478,save CSV File,train.csv,0.015625,100,8
479,load CSV File,test.csv,0.0,100,8
480,interpolate Data,test.csv,0.0,100,8
481,save CSV File,test.csv,0.0,100,8
482,load CSV File,ideal.csv,0.0,100,8
483,interpolate Data,ideal.csv,0.015625,100,8
484,save CSV File,ideal.csv,0.0,100,8
485,fill SQL Database,ideal.csv,0.25,100,8
486,fill SQL Database,train.csv,0.0625,100,8
487,GET SQL Data,ideal.csv,0.0,100,8
488,GET SQL Data,train.csv,0.015625,100,8
489,Finding all Ideal Functions,,0.046875,100,8
490,Assigning test data,,0.453125,100,8
491,fill SQL Database,test.csv,0.0,100,8
492,vis results,,0.109375,100,8
493,load CSV File,train.csv,0.0,1000,8
494,interpolate Data,train.csv,0.0,1000,8
495,save CSV File,train.csv,0.015625,1000,8
496,load CSV File,test.csv,0.0,1000,8
497,interpolate Data,test.csv,0.0,1000,8
498,save CSV File,test.csv,0.015625,1000,8
499,load CSV File,ideal.csv,0.0,1000,8
500,interpolate Data,ideal.csv,0.015625,1000,8
501,save CSV File,ideal.csv,0.203125,1000,8
502,fill SQL Database,ideal.csv,0.234375,1000,8
503,fill SQL Database,train.csv,0.046875,1000,8
504,GET SQL Data,ideal.csv,0.0625,1000,8
505,GET SQL Data,train.csv,0.0,1000,8
506,Finding all Ideal Functions,,0.03125,1000,8
507,Assigning test data,,3.953125,1000,8
508,fill SQL Database,test.csv,0.015625,1000,8
509,vis results,,0.109375,1000,8
510,load CSV File,train.csv,0.0,10000,8
511,interpolate Data,train.csv,0.015625,10000,8
512,save CSV File,train.csv,0.1875,10000,8
513,load CSV File,test.csv,0.0,10000,8
514,interpolate Data,test.csv,0.0,10000,8
515,save CSV File,test.csv,0.109375,10000,8
516,load CSV File,ideal.csv,0.0,10000,8
517,interpolate Data,ideal.csv,0.015625,10000,8
518,save CSV File,ideal.csv,1.625,10000,8
519,fill SQL Database,ideal.csv,1.5,10000,8
520,fill SQL Database,train.csv,0.21875,10000,8
521,GET SQL Data,ideal.csv,0.75,10000,8
522,GET SQL Data,train.csv,0.09375,10000,8
523,Finding all Ideal Functions,,0.109375,10000,8
524,Assigning test data,,44.046875,10000,8
525,fill SQL Database,test.csv,0.234375,10000,8
526,vis results,,0.28125,10000,8
527,load CSV File,train.csv,0.0,100000,8
528,interpolate Data,train.csv,0.03125,100000,8
529,save CSV File,train.csv,1.828125,100000,8
530,load CSV File,test.csv,0.0,100000,8
531,interpolate Data,test.csv,0.0,100000,8
532,save CSV File,test.csv,0.875,100000,8
533,load CSV File,ideal.csv,0.0,100000,8
534,interpolate Data,ideal.csv,0.171875,100000,8
535,save CSV File,ideal.csv,15.90625,100000,8
536,fill SQL Database,ideal.csv,14.59375,100000,8
537,fill SQL Database,train.csv,1.875,100000,8
538,GET SQL Data,ideal.csv,5.109375,100000,8
539,GET SQL Data,train.csv,0.890625,100000,8
540,Finding all Ideal Functions,,0.578125,100000,8
541,Assigning test data,,1504.328125,100000,8
542,fill SQL Database,test.csv,2.21875,100000,8
543,vis results,,1.796875,100000,8
544,load CSV File,train.csv,0.0,100,9
545,interpolate Data,train.csv,0.0,100,9
546,save CSV File,train.csv,0.015625,100,9
547,load CSV File,test.csv,0.0,100,9
548,interpolate Data,test.csv,0.0,100,9
549,save CSV File,test.csv,0.0,100,9
550,load CSV File,ideal.csv,0.0,100,9
551,interpolate Data,ideal.csv,0.015625,100,9
552,save CSV File,ideal.csv,0.0,100,9
553,fill SQL Database,ideal.csv,0.21875,100,9
554,fill SQL Database,train.csv,0.046875,100,9
555,GET SQL Data,ideal.csv,0.015625,100,9
556,GET SQL Data,train.csv,0.0,100,9
557,Finding all Ideal Functions,,0.03125,100,9
558,Assigning test data,,0.421875,100,9
559,fill SQL Database,test.csv,0.015625,100,9
560,vis results,,0.09375,100,9
561,load CSV File,train.csv,0.0,1000,9
562,interpolate Data,train.csv,0.015625,1000,9
563,save CSV File,train.csv,0.015625,1000,9
564,load CSV File,test.csv,0.0,1000,9
565,interpolate Data,test.csv,0.015625,1000,9
566,save CSV File,test.csv,0.0,1000,9
567,load CSV File,ideal.csv,0.015625,1000,9
568,interpolate Data,ideal.csv,0.015625,1000,9
569,save CSV File,ideal.csv,0.21875,1000,9
570,fill SQL Database,ideal.csv,0.21875,1000,9
571,fill SQL Database,train.csv,0.03125,1000,9
572,GET SQL Data,ideal.csv,0.0625,1000,9
573,GET SQL Data,train.csv,0.015625,1000,9
574,Finding all Ideal Functions,,0.046875,1000,9
575,Assigning test data,,4.09375,1000,9
576,fill SQL Database,test.csv,0.015625,1000,9
577,vis results,,0.09375,1000,9
578,load CSV File,train.csv,0.0,10000,9
579,interpolate Data,train.csv,0.0,10000,9
580,save CSV File,train.csv,0.1875,10000,9
581,load CSV File,test.csv,0.015625,10000,9
582,interpolate Data,test.csv,0.0,10000,9
583,save CSV File,test.csv,0.09375,10000,9
584,load CSV File,ideal.csv,0.0,10000,9
585,interpolate Data,ideal.csv,0.03125,10000,9
586,save CSV File,ideal.csv,1.609375,10000,9
587,fill SQL Database,ideal.csv,1.390625,10000,9
588,fill SQL Database,train.csv,0.234375,10000,9
589,GET SQL Data,ideal.csv,0.546875,10000,9
590,GET SQL Data,train.csv,0.09375,10000,9
591,Finding all Ideal Functions,,0.0625,10000,9
592,Assigning test data,,43.90625,10000,9
593,fill SQL Database,test.csv,0.21875,10000,9
594,vis results,,0.265625,10000,9
595,load CSV File,train.csv,0.0,100000,9
